gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn_Probability,Risk_Level
0,1,0,0,8,1,2,1,0,0,0,2,2,2,0,1,1,100.15,908.55,0.7745776045141365,High Risk
0,0,0,0,2,1,0,1,0,0,0,0,2,2,0,1,2,90.4,168.2,0.786112548585928,High Risk
0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.5,74.5,0.8615375177909864,High Risk
1,0,1,0,2,1,2,1,0,0,2,0,2,0,0,1,2,91.45,171.45,0.8490056516721711,High Risk
0,0,1,1,1,1,2,1,2,0,2,0,2,2,0,1,2,102.45,102.45,0.7935718831966091,High Risk
0,0,1,1,1,1,0,1,0,0,0,0,2,0,0,1,3,80.05,80.05,0.7966598750756828,High Risk
1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.55,89.55,0.8053281887397818,High Risk
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,25.2,25.2,0.8192841162865364,High Risk
0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,2,76.35,76.35,0.7588754600499732,High Risk
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.6,70.6,0.7741410130166958,High Risk
1,1,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,77.0,237.75,0.7877405572535127,High Risk
1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.5,79.5,0.8607753583613635,High Risk
1,0,1,1,1,1,2,1,0,0,0,0,0,0,0,1,2,74.5,74.5,0.8742288529362854,High Risk
0,0,0,0,1,1,0,1,0,0,2,0,2,0,0,1,1,85.55,85.55,0.7809242213299377,High Risk
1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,88.35,88.35,0.8278352677078772,High Risk
0,1,0,0,11,1,2,1,0,0,0,0,2,2,0,1,0,95.15,997.65,0.7791577095011385,High Risk
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.55,69.55,0.8855025012057571,High Risk
0,1,0,0,1,1,0,1,0,0,2,0,0,2,0,1,2,85.0,85.0,0.8481867692165252,High Risk
1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,80.5,80.5,0.8759983810489179,High Risk
0,1,0,0,9,1,2,1,0,0,2,0,2,0,0,1,2,90.1,816.8,0.7644511875418696,High Risk
1,0,0,0,3,1,0,1,0,0,2,2,2,0,0,1,3,89.85,244.45,0.7734108127860165,High Risk
0,1,0,0,4,1,2,1,0,0,0,0,0,2,0,1,2,84.6,360.1,0.8285290279650552,High Risk
1,0,1,1,1,1,0,1,0,0,0,0,0,2,0,0,2,80.0,80.0,0.8080259462962041,High Risk
1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.05,25.05,0.7650132454664413,High Risk
0,0,0,0,8,1,2,1,0,0,0,0,2,2,0,0,0,95.65,778.1,0.7555858903559569,High Risk
1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,2,71.65,71.65,0.8221005080564961,High Risk
1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,918.75,0.8016879226143876,High Risk
1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,76.45,76.45,0.9092101934091675,High Risk
0,0,0,0,3,1,2,1,0,0,0,0,2,2,0,1,2,96.6,291.9,0.8425087488668788,High Risk
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.9,69.9,0.8910233901765753,High Risk
1,0,0,0,3,1,2,1,0,0,2,0,2,2,0,1,2,100.95,329.95,0.8623785402490258,High Risk
1,0,0,0,3,1,2,1,0,0,0,0,0,2,0,1,2,85.3,264.8,0.8127844451011864,High Risk
0,0,0,0,1,1,2,1,0,0,0,0,2,2,0,0,3,95.65,95.65,0.8684545276738561,High Risk
0,1,0,0,4,1,0,1,0,2,2,0,2,2,0,1,1,99.8,442.85,0.7511411743963616,High Risk
0,0,0,0,1,1,2,1,0,2,0,0,0,0,0,1,3,79.15,79.15,0.8676470680000438,High Risk
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.1,69.1,0.8684617842689663,High Risk
0,0,1,0,6,1,2,1,0,2,0,0,0,2,0,1,2,90.75,512.25,0.8412163571859532,High Risk
0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,2,71.0,71.0,0.7922145374278375,High Risk
1,0,0,0,1,1,0,1,0,0,2,0,2,0,0,1,2,84.85,84.85,0.8285826023165173,High Risk
0,0,1,0,1,1,0,1,0,0,0,0,2,0,0,0,2,78.8,78.8,0.8722464511425368,High Risk
0,0,0,0,2,1,2,1,0,0,0,0,0,2,0,1,2,85.7,169.8,0.8506420637617403,High Risk
0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1,2,75.7,75.7,0.8469157017184944,High Risk
0,0,0,0,5,1,2,1,0,0,0,0,2,0,0,1,2,84.0,424.75,0.782436007513507,High Risk
1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,69.5,69.5,0.7987377532042885,High Risk
0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,1,2,75.55,166.3,0.7558936131433249,High Risk
1,0,0,0,1,1,2,1,0,2,0,0,0,2,0,1,1,90.85,90.85,0.8683813917414136,High Risk
0,1,0,0,2,1,2,1,0,0,0,0,0,2,0,1,2,84.05,186.05,0.8529141241752799,High Risk
0,0,1,1,6,1,2,1,0,2,2,0,2,0,0,1,3,94.05,518.75,0.7692554761295162,High Risk
1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,70.0,70.0,0.8234924186411592,High Risk
0,0,1,0,1,1,0,1,0,0,0,0,2,0,0,1,0,79.35,79.35,0.8128090482503669,High Risk
0,0,0,1,2,1,2,1,0,0,0,0,2,2,0,1,0,94.2,193.8,0.8566402906389392,High Risk
1,0,0,0,1,1,0,1,0,2,0,0,0,2,0,1,2,85.0,85.0,0.8312431796382753,High Risk
0,1,0,0,3,1,2,1,0,0,0,0,0,0,0,1,1,75.05,256.25,0.7592536409532014,High Risk
1,1,1,0,7,1,2,1,0,0,0,0,0,0,0,1,2,74.85,485.25,0.756591575431813,High Risk
1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,1,2,94.1,701.3,0.8547849765004382,High Risk
1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,71.0,71.0,0.7984990502986872,High Risk
1,1,1,0,1,1,2,1,0,0,0,0,2,2,0,1,2,95.1,95.1,0.8860051991397383,High Risk
0,1,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,85.05,85.05,0.9160739421937556,High Risk
1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,3,74.25,74.25,0.8531497353434194,High Risk
1,0,0,0,3,1,2,1,0,2,2,0,2,2,0,1,0,105.35,323.25,0.764888308931773,High Risk
1,1,1,0,3,1,2,1,0,2,2,0,2,2,0,1,2,105.9,334.65,0.7965637612840976,High Risk
1,1,1,0,7,1,2,1,0,0,2,0,2,2,0,1,2,101.95,700.85,0.8670064877052882,High Risk
1,1,1,0,7,1,2,1,0,0,2,0,2,2,0,1,2,99.25,665.45,0.8741519360440599,High Risk
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.55,35.55,0.8148262483532683,High Risk
1,0,0,0,7,1,2,1,0,0,2,0,2,2,0,1,0,98.05,713.0,0.8517899950801958,High Risk
0,1,0,0,4,1,2,1,0,0,2,0,2,0,0,1,2,89.2,346.2,0.8294174157140555,High Risk
1,0,0,0,1,1,2,1,0,0,0,0,2,2,0,1,2,95.45,95.45,0.8851077145220222,High Risk
1,1,1,0,1,1,2,1,0,0,0,0,0,0,0,0,2,74.3,74.3,0.7747728469418339,High Risk
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,70.45,0.7645686764305818,High Risk
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.9,69.9,0.8910233901765753,High Risk
0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,77.15,77.15,0.8772722545479369,High Risk
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.6,69.6,0.8855146592620298,High Risk
0,1,1,0,4,1,2,1,0,0,0,0,2,0,0,1,2,83.25,308.05,0.7855881797389195,High Risk
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,69.25,69.25,0.8612975894329015,High Risk
